"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 16:15:11 CLST 2022","Wed Mar 02 16:15:12 CLST 2022","764","","test de respuesta y status","","test de respuesta y status","cy.request() - test request 200","cy.request() - test request 200",""
"passed","Tue Mar 08 17:56:55 CLST 2022","Tue Mar 08 17:57:36 CLST 2022","40347","","Prueba en http://64.225.82.59:8080/marcas","","Prueba en http://64.225.82.59:8080/marcas","Navegacion dentro del menu compras/marcas","Navegacion dentro del menu compras/marcas",""
"passed","Wed Mar 02 16:15:57 CLST 2022","Wed Mar 02 16:15:57 CLST 2022","815","","Prueba en http://64.225.82.59:8080/departamentos","","Prueba en http://64.225.82.59:8080/departamentos","CRUD","CRUD",""
"passed","Tue Mar 08 17:54:55 CLST 2022","Tue Mar 08 17:55:36 CLST 2022","41511","","Prueba en http://64.225.82.59:8080/departamentos","","","","Navegacion dentro del menu compras/departamentos",""
"passed","Tue Mar 08 17:54:52 CLST 2022","Tue Mar 08 17:55:36 CLST 2022","43966","","Prueba en http://64.225.82.59:8080/departamentos","","Prueba en http://64.225.82.59:8080/departamentos","Navegacion dentro del menu compras/departamentos","Navegacion dentro del menu compras/departamentos",""
"passed","Tue Mar 08 17:53:59 CLST 2022","Tue Mar 08 17:54:37 CLST 2022","38084","","test login","","test login","test de credenciales correctas y cierre de sesion","test de credenciales correctas y cierre de sesion",""
"passed","Tue Mar 08 17:54:01 CLST 2022","Tue Mar 08 17:54:37 CLST 2022","35885","","test login","","","","test de credenciales correctas y cierre de sesion",""
"passed","Tue Mar 08 17:53:47 CLST 2022","Tue Mar 08 17:53:49 CLST 2022","1467","","Prueba de api","","Prueba de api","make an XHR request","make an XHR request",""
"passed","Tue Mar 08 17:53:47 CLST 2022","Tue Mar 08 17:53:48 CLST 2022","1248","","Prueba de api","","","","make an XHR request",""
"passed","Wed Mar 02 16:15:11 CLST 2022","Wed Mar 02 16:15:12 CLST 2022","664","","test de respuesta y status","","","","cy.request() - test request 200",""
"passed","Tue Mar 08 17:55:54 CLST 2022","Tue Mar 08 17:56:40 CLST 2022","45636","","Prueba en http://64.225.82.59:8080/linea_productos","","","","Navegacion dentro del menu compras/linea de productos",""
"passed","Tue Mar 08 17:56:57 CLST 2022","Tue Mar 08 17:57:36 CLST 2022","38186","","Prueba en http://64.225.82.59:8080/marcas","","","","Navegacion dentro del menu compras/marcas",""
"passed","Wed Mar 02 16:15:57 CLST 2022","Wed Mar 02 16:15:57 CLST 2022","815","","Prueba en http://64.225.82.59:8080/departamentos","","","","CRUD",""
"passed","Tue Mar 08 17:55:52 CLST 2022","Tue Mar 08 17:56:40 CLST 2022","47904","","Prueba en http://64.225.82.59:8080/linea_productos","","Prueba en http://64.225.82.59:8080/linea_productos","Navegacion dentro del menu compras/linea de productos","Navegacion dentro del menu compras/linea de productos",""
